timestamp,search_type,split,model,config_id,embedding_dim,filters,kernel_size,dense_units,dropout_rate,learning_rate,batch_size,num_epochs,cv_accuracy_mean,cv_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_f1_macro_mean,cv_f1_macro_std,cv_scam_recall_mean,cv_scam_recall_std,cv_nonscam_recall_mean,cv_nonscam_recall_std,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,test_scam_recall,test_nonscam_recall,time_sec,status
2026-06-12 05:04:52,random_search,80/10/10,CNN,1,128,32,5,128,0.3,0.0005,32,10,0.9749,0.0009,0.9749,0.0009,0.9747,0.0008,0.9718,0.0019,0.9775,0.0007,0.9739,0.9739,0.9739,0.9739,0.9738,0.9735,0.9736,0.9694,0.9776,407.52,completed
2026-06-12 05:06:47,random_search,80/10/10,CNN,2,32,128,5,128,0.3,0.001,64,10,0.972,0.0016,0.972,0.0016,0.9717,0.0016,0.9678,0.0024,0.9754,0.003,0.973,0.9731,0.973,0.973,0.9724,0.9732,0.9728,0.9746,0.9717,115.48,completed
2026-06-12 05:10:36,random_search,80/10/10,CNN,3,64,64,5,64,0.2,0.001,32,10,0.9738,0.0032,0.9738,0.0032,0.9735,0.0032,0.9716,0.0053,0.9756,0.0063,0.9749,0.9749,0.9749,0.9749,0.9747,0.9746,0.9747,0.9717,0.9776,228.49,completed
2026-06-12 05:13:16,random_search,80/10/10,CNN,4,64,64,3,128,0.5,0.0005,64,10,0.9744,0.0015,0.9744,0.0015,0.9742,0.0015,0.969,0.0051,0.9789,0.0016,0.9748,0.975,0.9748,0.9748,0.9757,0.9735,0.9745,0.9606,0.9865,159.89,completed
2026-06-12 05:21:42,random_search,80/10/10,CNN,5,128,128,5,64,0.3,0.001,64,10,0.975,0.0025,0.975,0.0025,0.9747,0.0025,0.9715,0.0033,0.9778,0.0022,0.9768,0.9769,0.9768,0.9768,0.9762,0.9771,0.9766,0.9803,0.9739,506.09,completed
2026-06-12 05:22:21,random_search,80/10/10,CNN,5,128,128,5,64,0.3,0.001,64,10,0.973,0.0002,0.973,0.0002,0.9728,0.0002,0.9722,0.0066,0.9737,0.0057,0.9746,0.9748,0.9746,0.9746,0.9738,0.9751,0.9744,0.9799,0.9703,470.77,completed
2026-06-12 05:27:57,random_search,80/10/10,CNN,5,128,128,5,64,0.3,0.001,64,10,0.973,0.0002,0.973,0.0002,0.9728,0.0002,0.9722,0.0066,0.9737,0.0057,0.9746,0.9748,0.9746,0.9746,0.9738,0.9751,0.9744,0.9799,0.9703,389.19,completed
2026-06-12 05:30:01,random_search,80/10/10,CNN,6,32,128,5,128,0.3,0.0005,32,10,0.9714,0.0027,0.9713,0.0027,0.9711,0.0027,0.9655,0.005,0.9761,0.001,0.9748,0.9748,0.9748,0.9748,0.9744,0.9748,0.9746,0.9742,0.9753,459.66,completed
2026-06-12 05:31:01,random_search,80/10/10,CNN,6,32,128,5,128,0.3,0.0005,32,10,0.9726,0.0017,0.9726,0.0017,0.9723,0.0017,0.9722,0.0034,0.9729,0.0014,0.9755,0.9755,0.9755,0.9755,0.9754,0.9751,0.9752,0.971,0.9791,559.24,completed
2026-06-12 05:34:39,random_search,80/10/10,CNN,6,32,128,5,128,0.3,0.0005,32,10,0.9714,0.0027,0.9713,0.0027,0.9711,0.0027,0.9655,0.005,0.9761,0.001,0.9748,0.9748,0.9748,0.9748,0.9744,0.9748,0.9746,0.9742,0.9753,402.26,completed
2026-06-12 05:36:07,random_search,80/10/10,CNN,7,64,128,3,128,0.2,0.0005,64,10,0.9746,0.0015,0.9746,0.0015,0.9744,0.0015,0.9687,0.0094,0.9794,0.0051,0.9759,0.976,0.9759,0.9758,0.9767,0.9746,0.9756,0.9618,0.9874,365.9,completed
2026-06-12 05:37:36,random_search,80/10/10,CNN,7,64,128,3,128,0.2,0.0005,64,10,0.9743,0.0016,0.9743,0.0016,0.9741,0.0016,0.971,0.0085,0.9772,0.0049,0.9765,0.9766,0.9765,0.9765,0.9769,0.9757,0.9763,0.9668,0.9845,394.31,completed
2026-06-12 05:40:57,random_search,80/10/10,CNN,7,64,128,3,128,0.2,0.0005,64,10,0.9746,0.0015,0.9746,0.0015,0.9744,0.0015,0.9687,0.0094,0.9794,0.0051,0.9759,0.976,0.9759,0.9758,0.9767,0.9746,0.9756,0.9618,0.9874,378.13,completed
2026-06-12 05:45:01,random_search,80/10/10,CNN,8,64,32,5,64,0.2,0.0005,32,10,0.9732,0.0018,0.9732,0.0018,0.973,0.0018,0.9675,0.0036,0.978,0.0004,0.9754,0.9754,0.9754,0.9754,0.9755,0.9748,0.9751,0.9689,0.9807,533.82,completed
2026-06-12 05:46:08,random_search,80/10/10,CNN,8,64,32,5,64,0.2,0.0005,32,10,0.9728,0.0017,0.9728,0.0017,0.9725,0.0017,0.9703,0.005,0.9749,0.0024,0.9742,0.9744,0.9742,0.9742,0.975,0.973,0.9739,0.9608,0.9853,512.15,completed
2026-06-12 05:48:13,random_search,80/10/10,CNN,8,64,32,5,64,0.2,0.0005,32,10,0.9732,0.0018,0.9732,0.0018,0.973,0.0018,0.9675,0.0036,0.978,0.0004,0.9754,0.9754,0.9754,0.9754,0.9755,0.9748,0.9751,0.9689,0.9807,436.21,completed
