timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,before_smote,after_smote,time_sec
2026-06-08 06:58:38,random_search,80/10/10,RandomForest,1,1,0.9525,0.9525,0.9525,0.9525,0.9518,0.9522,0.952,0.9501,0.9544,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",113.2
2026-06-08 07:00:31,random_search,80/10/10,RandomForest,1,2,0.9549,0.9549,0.9549,0.9549,0.9544,0.9546,0.9545,0.9511,0.9581,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",112.99
2026-06-08 07:02:19,random_search,80/10/10,RandomForest,1,3,0.9531,0.9531,0.9531,0.9531,0.9526,0.9527,0.9526,0.949,0.9564,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",107.38
2026-06-08 07:06:34,random_search,80/10/10,RandomForest,2,1,0.9265,0.9274,0.9265,0.9267,0.9252,0.9277,0.9261,0.9396,0.9158,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",92.69
2026-06-08 07:08:35,random_search,80/10/10,RandomForest,2,2,0.932,0.933,0.932,0.9322,0.9307,0.9334,0.9316,0.9471,0.9197,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",120.47
2026-06-08 07:10:24,random_search,80/10/10,RandomForest,2,3,0.9286,0.9297,0.9286,0.9287,0.9272,0.9301,0.9282,0.9449,0.9152,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",109.28
2026-06-08 07:14:32,random_search,80/10/10,RandomForest,3,1,0.9472,0.9475,0.9472,0.9472,0.9461,0.9477,0.9468,0.953,0.9423,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",114.21
2026-06-08 07:16:19,random_search,80/10/10,RandomForest,3,2,0.9504,0.9507,0.9504,0.9504,0.9493,0.9509,0.95,0.9561,0.9457,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",107.2
2026-06-08 07:17:59,random_search,80/10/10,RandomForest,3,3,0.9487,0.949,0.9487,0.9488,0.9477,0.9491,0.9483,0.9528,0.9454,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",100.13
2026-06-08 07:22:12,random_search,80/10/10,RandomForest,4,1,0.9171,0.9185,0.9171,0.9173,0.9158,0.9187,0.9167,0.9347,0.9027,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",108.66
2026-06-08 07:23:57,random_search,80/10/10,RandomForest,4,2,0.9234,0.9247,0.9234,0.9235,0.922,0.925,0.923,0.9413,0.9086,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",104.51
2026-06-08 07:25:33,random_search,80/10/10,RandomForest,4,3,0.9208,0.922,0.9208,0.9209,0.9194,0.9222,0.9203,0.9368,0.9077,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",96.53
2026-06-08 07:29:18,random_search,80/10/10,RandomForest,5,1,0.9162,0.9173,0.9162,0.9164,0.9148,0.9175,0.9157,0.9308,0.9042,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",92.59
2026-06-08 07:30:54,random_search,80/10/10,RandomForest,5,2,0.9194,0.9204,0.9194,0.9195,0.918,0.9206,0.9189,0.9328,0.9084,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",96.14
2026-06-08 07:32:29,random_search,80/10/10,RandomForest,5,3,0.9166,0.9179,0.9166,0.9168,0.9152,0.9181,0.9162,0.9327,0.9034,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",94.65
2026-06-08 07:36:20,random_search,80/10/10,RandomForest,6,1,0.947,0.9473,0.947,0.947,0.9458,0.9476,0.9466,0.9545,0.9408,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",99.61
2026-06-08 07:37:57,random_search,80/10/10,RandomForest,6,2,0.9494,0.9498,0.9494,0.9495,0.9483,0.9501,0.9491,0.9564,0.9437,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",97.03
2026-06-08 07:39:30,random_search,80/10/10,RandomForest,6,3,0.947,0.9473,0.947,0.947,0.9458,0.9476,0.9466,0.9538,0.9414,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",93.12
2026-06-08 07:43:16,random_search,80/10/10,RandomForest,7,1,0.921,0.9222,0.921,0.9211,0.9196,0.9225,0.9205,0.9382,0.9068,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",91.37
2026-06-08 07:44:55,random_search,80/10/10,RandomForest,7,2,0.9248,0.9265,0.9248,0.925,0.9235,0.9268,0.9245,0.9464,0.9071,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",98.64
2026-06-08 07:46:35,random_search,80/10/10,RandomForest,7,3,0.9225,0.9236,0.9225,0.9226,0.9211,0.9238,0.922,0.9381,0.9096,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",99.6
2026-06-08 07:50:58,random_search,80/10/10,RandomForest,8,1,0.9603,0.9603,0.9603,0.9603,0.9604,0.9594,0.9598,0.95,0.9687,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",128.95
2026-06-08 07:53:00,random_search,80/10/10,RandomForest,8,2,0.9658,0.9658,0.9658,0.9658,0.9659,0.9651,0.9655,0.9578,0.9725,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",122.8
2026-06-08 07:55:16,random_search,80/10/10,RandomForest,8,3,0.962,0.962,0.962,0.962,0.9618,0.9615,0.9617,0.956,0.9671,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",135.17
2026-06-08 08:08:46,random_search,80/10/10,SVM,1,1,0.9228,0.9232,0.9228,0.9229,0.9215,0.9232,0.9223,0.9276,0.9188,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",636.7
2026-06-08 08:18:58,random_search,80/10/10,SVM,1,2,0.9279,0.9286,0.9279,0.928,0.9266,0.9288,0.9274,0.9376,0.9199,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",611.83
2026-06-08 08:28:33,random_search,80/10/10,SVM,1,3,0.9253,0.9258,0.9253,0.9254,0.924,0.9259,0.9248,0.9316,0.9201,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",575.43
2026-06-08 08:59:59,random_search,80/10/10,SVM,2,1,0.9377,0.9379,0.9377,0.9378,0.9367,0.9378,0.9372,0.939,0.9367,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",894.77
2026-06-08 09:13:22,random_search,80/10/10,SVM,2,2,0.942,0.9422,0.942,0.9421,0.941,0.9422,0.9415,0.9436,0.9407,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",802.87
2026-06-08 09:24:48,random_search,80/10/10,SVM,2,3,0.9407,0.9409,0.9407,0.9407,0.9396,0.9409,0.9402,0.9431,0.9387,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",685.91
