timestamp,search_type,split,model,config_id,tfidf_max_features,tfidf_min_df,tfidf_ngram_range,tfidf_sublinear_tf,tfidf_stop_words,chi2_k,rfe_n_features,clf_n_estimators,clf_max_depth,clf_min_samples_split,clf_min_samples_leaf,clf_max_features,clf_bootstrap,clf_C,clf_kernel,clf_gamma,clf_class_weight,use_smote,cv_accuracy_mean,cv_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_f1_macro_mean,cv_f1_macro_std,cv_scam_recall_mean,cv_scam_recall_std,cv_nonscam_recall_mean,cv_nonscam_recall_std,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,test_scam_recall,test_nonscam_recall,before_smote_full_train,after_smote_full_train,time_sec,status
2026-06-08 07:05:01,random_search,80/10/10,RandomForest,1,2500,3,"(1, 2)",True,custom,1200,300,100,None,2,5,sqrt,True,,,,None,True,0.9535,0.0012,0.9535,0.0012,0.953,0.0013,0.9501,0.0011,0.9563,0.0019,0.9539,0.9539,0.9539,0.9539,0.9533,0.9536,0.9535,0.9509,0.9563,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",496.31,completed
2026-06-08 07:12:37,random_search,80/10/10,RandomForest,2,3000,5,"(1, 2)",True,custom,500,400,200,20,2,1,sqrt,True,,,,None,True,0.929,0.0028,0.9292,0.0028,0.9286,0.0028,0.9439,0.0039,0.9169,0.0024,0.9255,0.9265,0.9255,0.9256,0.9241,0.9268,0.9251,0.9402,0.9134,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",455.92,completed
2026-06-08 07:20:23,random_search,80/10/10,RandomForest,3,2000,5,"(1, 2)",True,custom,900,300,200,30,5,3,sqrt,True,,,,None,True,0.9488,0.0016,0.9488,0.0016,0.9484,0.0016,0.954,0.0019,0.9445,0.0019,0.9467,0.947,0.9467,0.9467,0.9456,0.9471,0.9463,0.9516,0.9427,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",465.84,completed
2026-06-08 07:27:45,random_search,80/10/10,RandomForest,4,1500,5,"(1, 2)",True,custom,700,400,150,15,10,1,sqrt,True,,,,None,True,0.9204,0.0032,0.9206,0.0031,0.92,0.0032,0.9376,0.0034,0.9063,0.0032,0.9191,0.921,0.9191,0.9192,0.9178,0.9212,0.9187,0.9436,0.8989,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",442.13,completed
2026-06-08 07:34:41,random_search,80/10/10,RandomForest,5,2000,5,"(1, 2)",True,custom,1200,150,150,15,5,5,sqrt,True,,,,None,True,0.9174,0.0017,0.9176,0.0017,0.9169,0.0017,0.9321,0.0011,0.9053,0.0027,0.9133,0.915,0.9133,0.9134,0.912,0.9151,0.9129,0.9339,0.8963,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",414.98,completed
2026-06-08 07:41:45,random_search,80/10/10,RandomForest,6,3000,5,"(1, 2)",True,custom,700,400,100,30,5,3,sqrt,True,,,,None,True,0.9478,0.0014,0.9478,0.0014,0.9474,0.0014,0.9549,0.0013,0.942,0.0015,0.9438,0.9442,0.9438,0.9438,0.9425,0.9446,0.9434,0.9528,0.9363,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",424.32,completed
2026-06-08 07:48:48,random_search,80/10/10,RandomForest,7,1200,3,"(1, 2)",True,custom,900,400,100,15,2,1,sqrt,True,,,,None,True,0.9228,0.0019,0.9229,0.002,0.9223,0.002,0.9409,0.0048,0.9078,0.0015,0.9177,0.9199,0.9177,0.9179,0.9166,0.9201,0.9174,0.944,0.8961,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",423.25,completed
2026-06-08 07:58:09,random_search,80/10/10,RandomForest,8,1200,5,"(1, 2)",True,custom,1200,400,200,None,10,1,sqrt,True,,,,None,True,0.9627,0.0028,0.9627,0.0028,0.9623,0.0029,0.9546,0.0041,0.9694,0.0028,0.9634,0.9634,0.9634,0.9634,0.9631,0.9629,0.963,0.9585,0.9674,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",560.53,completed
2026-06-08 08:45:05,random_search,80/10/10,SVM,1,1500,3,"(1, 2)",True,custom,500,200,,None,,,,,0.5,linear,scale,None,True,0.9253,0.0026,0.9254,0.0026,0.9248,0.0026,0.9323,0.005,0.9196,0.0007,0.9226,0.9231,0.9226,0.9226,0.9212,0.9232,0.922,0.9293,0.917,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",2815.39,completed
2026-06-08 09:44:01,random_search,80/10/10,SVM,2,3000,3,"(1, 2)",True,custom,700,400,,None,,,,,0.3,linear,scale,None,True,0.9401,0.0022,0.9402,0.0022,0.9396,0.0022,0.9419,0.0025,0.9387,0.002,0.9387,0.939,0.9387,0.9388,0.9377,0.9389,0.9383,0.9409,0.937,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",3536.47,completed
2026-06-08 10:36:14,random_search,80/10/10,SVM,3,2000,3,"(1, 2)",True,custom,900,400,,None,,,,,0.2,linear,scale,None,True,0.9384,0.0019,0.9384,0.0019,0.9379,0.0019,0.9425,0.0029,0.935,0.0024,0.9359,0.9361,0.9359,0.936,0.9348,0.9361,0.9354,0.9377,0.9344,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",3132.81,completed
2026-06-08 11:17:16,random_search,80/10/10,SVM,4,1500,5,"(1, 2)",True,custom,500,300,,None,,,,,0.5,linear,scale,None,True,0.9342,0.0019,0.9342,0.002,0.9337,0.0019,0.9394,0.0027,0.9299,0.0013,0.933,0.9335,0.933,0.933,0.9317,0.9336,0.9325,0.9404,0.9268,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",2461.57,completed
2026-06-08 12:09:25,random_search,80/10/10,SVM,5,2500,5,"(1, 2)",True,custom,700,400,,None,,,,,0.3,linear,scale,None,True,0.9405,0.0029,0.9405,0.0029,0.94,0.0029,0.9436,0.0036,0.9379,0.0024,0.9389,0.9391,0.9389,0.939,0.9379,0.939,0.9384,0.94,0.9381,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",3129.14,completed
